----- Header information -------------------------------------------------------
Current name: TP6_SP_10_XRR_20120213_0_4_001_8s_corr022.txt
Original name: TP6_SP_10_XRR_20120213_0_4_001_8s_corr022
Comment: TP6_SP_10_XRR_20120213_0_4_001_8s.njc (korrigiert mit Strahl = 0.22 mm und Probe = 21.0 mm)
Original date: 16-Feb-2012, 11:10:11
Wavelength: 1.5418
Omega: ???
2Theta: ???
Scan type: ???
Scan axis: ???
First angle: 0.0
Scan range: 4.0
Step width: 0.01
Time per step: 8.0
Number of points: 401
--------------------------------------------------------------------------------

        Angle	    Intensity
       3.1000	       6.8750
       3.1100	       6.6250
       3.1200	       4.1250
       3.1300	       7.7500
       3.1400	       8.0000
       3.1500	       6.0000
       3.1600	       5.2500
       3.1700	       4.8750
       3.1800	       6.3750
       3.1900	       5.5000
       3.2000	       5.1250
       3.2100	       5.1250
       3.2200	       5.3750
       3.2300	       6.2500
       3.2400	       5.7500
       3.2500	       6.3750
       3.2600	       4.7500
       3.2700	       5.3750
       3.2800	       7.3750
       3.2900	       6.5000
       3.3000	       5.7500
       3.3100	       4.7500
       3.3200	       5.5000
       3.3300	       5.6250
       3.3400	       6.1250
       3.3500	       5.1250
       3.3600	       6.0000
       3.3700	       5.6250
       3.3800	       6.2500
       3.3900	       7.2500
       3.4000	       5.1250
       3.4100	       4.8750
       3.4200	       4.5000
       3.4300	       7.3750
       3.4400	       6.3750
       3.4500	       4.8750
       3.4600	       4.8750
       3.4700	       4.1250
       3.4800	       5.7500
       3.4900	       6.3750
       3.5000	       4.7500
       3.5100	       5.6250
       3.5200	       4.5000
       3.5300	       4.6250
       3.5400	       4.3750
       3.5500	       5.5000
       3.5600	       6.0000
       3.5700	       4.7500
       3.5800	       6.0000
       3.5900	       6.0000
       3.6000	       5.3750
       3.6100	       4.0000
       3.6200	       5.3750
       3.6300	       6.2500
       3.6400	       3.7500
       3.6500	       6.6250
       3.6600	       5.5000
       3.6700	       6.2500
       3.6800	       5.2500
       3.6900	       4.1250
       3.7000	       5.0000
       3.7100	       5.1250
       3.7200	       4.6250
       3.7300	       4.3750
       3.7400	       3.8750
       3.7500	       5.6250
       3.7600	       5.2500
       3.7700	       5.8750
       3.7800	       4.3750
       3.7900	       4.8750
       3.8000	       4.8750
       3.8100	       6.1250
       3.8200	       4.8750
       3.8300	       5.5000
       3.8400	       3.8750
       3.8500	       4.2500
       3.8600	       4.8750
       3.8700	       4.3750
       3.8800	       4.5000
       3.8900	       3.5000
       3.9000	       4.5000
       3.9100	       4.2500
       3.9200	       4.1250
       3.9300	       5.3750
       3.9400	       3.6250
       3.9500	       4.5000
       3.9600	       4.8750
       3.9700	       4.3750
       3.9800	       5.2500
       3.9900	       3.5000
       4.0000	       4.0000
